 -10.8689,   2.5546
 -11.3698,   1.7176
 -12.0023,   1.0318
 -12.7649,   0.4680
 -13.5984,  -0.0292
 -14.4992,  -0.3742
 -15.3846,  -0.6291
 -16.2972,  -0.9160
 -17.2398,  -1.0076
 -18.1712,  -0.9470
 -19.1672,  -0.8271
 -20.1515,  -0.9254
 -21.1253,  -1.0942
 -22.0508,  -1.1703
 -22.9794,  -1.4109
 -23.9462,  -1.4623
 -24.8715,  -1.2363
 -25.7516,  -0.8303
 -26.6304,  -0.4199
 -27.3914,   0.1384
 -28.0496,   0.8146
 -28.6617,   1.6017
 -29.2928,   2.2802
 -30.0841,   2.8613
 -30.8715,   3.4285
 -31.6022,   4.0888
 -32.2150,   4.7947
 -32.9930,   5.3521
 -33.8251,   5.7501
 -34.7390,   5.9937
 -35.6830,   6.1083
 -36.6503,   6.1363
 -37.6569,   6.3320
 -38.6214,   6.3554
 -39.5922,   6.1479
 -40.4523,   5.7009
 -41.0988,   5.0096
 -41.1209,   4.0433
 -40.8570,   3.0955
 -40.1247,   2.4699
 -39.1990,   2.2304
 -38.2537,   2.2701
 -37.3077,   2.4628
 -36.3310,   2.4968
t=   3.0000
  -5.8213,   4.5342
  -6.8021,   4.5233
  -7.7523,   4.3722
  -8.5333,   3.8239
  -9.2821,   3.2714
 -10.1121,   2.7939
 -10.8537,   2.2033
 -11.5728,   1.5297
 -12.3265,   0.9380
 -13.0679,   0.3078
 -13.8820,  -0.1866
 -14.7994,  -0.5736
 -15.7272,  -0.6027
 -16.6880,  -0.6998
 -17.6419,  -0.7690
 -18.5680,  -0.8405
 -19.5175,  -0.9335
 -20.4360,  -1.2417
 -21.3545,  -1.3294
 -22.3004,  -1.4114
 -23.2410,  -1.5224
 -24.2212,  -1.5988
 -25.1406,  -1.3741
 -26.0032,  -0.9516
 -26.7293,  -0.3257
 -27.3166,   0.4261
 -27.9470,   1.1276
 -28.7603,   1.6448
 -29.5310,   2.2317
 -30.2702,   2.8368
 -30.9719,   3.4656
 -31.6623,   4.1505
 -32.4225,   4.7485
 -33.1979,   5.3204
 -34.0269,   5.7732
 -34.8712,   6.1907
 -35.8358,   6.3437
 -36.8144,   6.2691
 -37.7693,   6.1411
 -38.7609,   6.1185
 -39.7178,   5.9174
 -40.5809,   5.5608
 -41.2819,   4.9885
 -41.3202,   4.0406
 -40.9579,   3.1270
 -40.1763,   2.5231
 -39.2353,   2.3373
 -38.2845,   2.2979
 -37.2790,   2.2703
 -36.3085,   2.2681
t=   3.5000
  -6.2278,   5.0019
  -7.1514,   4.6571
  -7.9802,   4.1174
  -8.8393,   3.6839
  -9.6142,   3.1718
 -10.3664,   2.5800
 -11.1150,   1.9393
 -11.7931,   1.2236
 -12.5114,   0.6243
 -13.2843,   0.1018
 -14.1349,  -0.4070
 -15.0489,  -0.6580
 -16.0344,  -0.7356
 -17.0422,  -0.7956
 -17.9600,  -0.9337
 -18.9081,  -1.0251
 -19.8409,  -1.0758
 -20.8124,  -1.2757
 -21.7036,  -1.6937
 -22.5422,  -2.1211
 -23.4779,  -2.0957
 -24.3527,  -1.7793
 -25.2242,  -1.3767
 -26.1142,  -0.9537
 -26.9089,  -0.4141
 -27.5869,   0.2738
 -28.2355,   0.9589
 -28.8742,   1.6594
 -29.5850,   2.3737
 -30.3767,   2.9491
 -31.1220,   3.5289
 -31.8761,   4.1571
 -32.5041,   4.8762
 -33.2549,   5.4247
 -34.0643,   5.8643
 -34.9863,   6.2138
 -35.8761,   6.4550
 -36.8053,   6.3044
 -37.7400,   6.2754
 -38.7355,   6.2408
 -39.5955,   5.8887
 -40.4875,   5.4231
 -41.2089,   4.8055
 -41.3510,   3.8737
 -40.9618,   3.0155
 -40.1937,   2.4498
 -39.2389,   2.1777
 -38.2658,   2.0735
 -37.2927,   1.9281
 -36.3628,   1.8257
t=   4.0000
  -6.8685,   5.2614
  -7.4716,   4.4942
  -8.1837,   3.8679
  -8.9353,   3.2325
  -9.7037,   2.6913
 -10.4698,   2.1563
 -11.1084,   1.4453
 -11.8866,   0.9209
 -12.7765,   0.5259
 -13.6174,   0.0943
 -14.4588,  -0.3845
 -15.3699,  -0.7653
 -16.3343,  -0.9288
 -17.3300,  -0.9684
 -18.2606,  -1.0361
 -19.1790,  -1.3986
 -20.0858,  -1.6844
 -21.0222,  -1.7838
 -21.9094,  -2.1566
 -22.8226,  -2.3024
 -23.7738,  -2.3647
 -24.7368,  -2.3095
 -25.6184,  -1.9041
 -26.3299,  -1.2619
 -26.9140,  -0.4654
 -27.5633,   0.2210
 -28.2645,   0.8531
 -29.0204,   1.4837
 -29.7702,   2.1283
 -30.3260,   2.9290
 -30.9858,   3.6296
